Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 165.262 Hz
Solving frequency = 337.041 Hz
Solving frequency = 225.938 Hz
Solving frequency = 233.481 Hz
Solving frequency = 260.417 Hz
Solving frequency = 210.04 Hz
Solving frequency = 233.372 Hz
Solving frequency = 268.384 Hz
Solving frequency = 237.53 Hz
Solving frequency = 269.397 Hz
Solving frequency = 231.535 Hz
Solving frequency = 271.518 Hz
Solving frequency = 181.061 Hz
Solving frequency = 199.681 Hz
Solving frequency = 121.877 Hz
Solving frequency = 239.751 Hz
Solving frequency = 215.054 Hz
Solving frequency = 238.436 Hz
Solving frequency = 198.491 Hz
Solving frequency = 214.546 Hz
Solving frequency = 137.665 Hz
Solving frequency = 223.564 Hz
Solving frequency = 140.036 Hz
Solving frequency = 166.334 Hz
Solving frequency = 247.402 Hz
Solving frequency = 287.687 Hz
Solving frequency = 498.504 Hz
Solving frequency = 382.848 Hz
Solving frequency = 438.982 Hz
Solving frequency = 353.232 Hz
Solving frequency = 456.204 Hz
Solving frequency = 380.662 Hz
Solving frequency = 473.261 Hz
Solving frequency = 371.747 Hz
Solving frequency = 405.844 Hz
Solving frequency = 498.256 Hz
Solving frequency = 442.282 Hz
Solving frequency = 372.856 Hz
Solving frequency = 330.469 Hz
Solving frequency = 487.567 Hz
Solving frequency = 384.763 Hz
Solving frequency = 531.632 Hz
Solving frequency = 423.549 Hz
Solving frequency = 413.736 Hz
Solving frequency = 508.13 Hz
Solving frequency = 410.172 Hz
Solving frequency = 410.509 Hz
Solving frequency = 411.862 Hz
Solving frequency = 412.201 Hz
Solving frequency = 411.692 Hz
Solving frequency = 454.545 Hz
Solving frequency = 337.61 Hz
Solving frequency = 478.011 Hz
Solving frequency = 370.233 Hz
Solving frequency = 509.424 Hz
Solving frequency = 416.84 Hz
Solving frequency = 477.555 Hz
Solving frequency = 415.11 Hz
Solving frequency = 389.864 Hz
Solving frequency = 412.541 Hz
Solving frequency = 355.872 Hz
Solving frequency = 481.696 Hz
Solving frequency = 400.16 Hz
Solving frequency = 380.518 Hz
Solving frequency = 429.738 Hz
Solving frequency = 446.628 Hz
Solving frequency = 464.684 Hz
Solving frequency = 366.703 Hz
Solving frequency = 483.092 Hz
Solving frequency = 499.251 Hz
Solving frequency = 359.583 Hz
Solving frequency = 435.161 Hz
Solving frequency = 521.648 Hz
Solving frequency = 552.792 Hz
Solving frequency = 409.333 Hz
Solving frequency = 425.532 Hz
Solving frequency = 462.535 Hz
Solving frequency = 459.348 Hz
Solving frequency = 426.257 Hz
Solving frequency = 418.936 Hz
Solving frequency = 415.11 Hz
Solving frequency = 416.667 Hz
Solving frequency = 411.523 Hz
Solving frequency = 419.287 Hz
Solving frequency = 417.188 Hz
Solving frequency = 418.06 Hz
Solving frequency = 396.668 Hz
Solving frequency = 411.692 Hz
Solving frequency = 1140.25 Hz
Solving frequency = 413.907 Hz
Solving frequency = 418.41 Hz
Solving frequency = 611.247 Hz
Solving frequency = 507.614 Hz
Solving frequency = 531.067 Hz
Solving frequency = 1124.86 Hz
Solving frequency = 500.751 Hz
Solving frequency = 509.944 Hz
Solving frequency = 482.859 Hz
Solving frequency = 498.008 Hz
Solving frequency = 540.249 Hz
Solving frequency = 418.76 Hz
Solving frequency = 513.347 Hz
Solving frequency = 423.37 Hz
Solving frequency = 358.295 Hz
Solving frequency = 421.763 Hz
Solving frequency = 532.765 Hz
Solving frequency = 414.079 Hz
Solving frequency = 412.201 Hz
Solving frequency = 401.929 Hz
Solving frequency = 417.362 Hz
Solving frequency = 419.287 Hz
Solving frequency = 410.678 Hz
Solving frequency = 491.884 Hz
Solving frequency = 721.501 Hz
Solving frequency = 371.471 Hz
Solving frequency = 533.333 Hz
Solving frequency = 461.255 Hz
Solving frequency = 469.925 Hz
Solving frequency = 941.62 Hz
Solving frequency = 946.97 Hz
Solving frequency = 1070.66 Hz
Solving frequency = 1033.06 Hz
Solving frequency = 394.011 Hz
Solving frequency = 424.448 Hz
Solving frequency = 485.909 Hz
Solving frequency = 421.053 Hz
Solving frequency = 536.481 Hz
Solving frequency = 528.541 Hz
Solving frequency = 345.185 Hz
Solving frequency = 428.266 Hz
Solving frequency = 531.067 Hz
Solving frequency = 414.422 Hz
Solving frequency = 388.048 Hz
Solving frequency = 400 Hz
Solving frequency = 521.376 Hz
Solving frequency = 403.226 Hz
Solving frequency = 411.862 Hz
Solving frequency = 410.004 Hz
Solving frequency = 408.163 Hz
Solving frequency = 507.099 Hz
Solving frequency = 1114.83 Hz
Solving frequency = 640.205 Hz
Solving frequency = 581.058 Hz
Solving frequency = 494.56 Hz
Solving frequency = 384.025 Hz
Solving frequency = 433.839 Hz
Solving frequency = 414.079 Hz
Solving frequency = 415.628 Hz
Solving frequency = 454.959 Hz
Solving frequency = 413.394 Hz
Solving frequency = 442.478 Hz
Solving frequency = 420.521 Hz
Solving frequency = 415.973 Hz
Solving frequency = 422.654 Hz
Solving frequency = 522.739 Hz
Solving frequency = 1053.74 Hz
Solving frequency = 1097.69 Hz
Solving frequency = 614.628 Hz
Solving frequency = 1142.86 Hz
Solving frequency = 507.614 Hz
Solving frequency = 578.704 Hz
Solving frequency = 739.098 Hz
Solving frequency = 729.395 Hz
Solving frequency = 416.493 Hz
Solving frequency = 415.455 Hz
Solving frequency = 601.685 Hz
Solving frequency = 577.367 Hz
Solving frequency = 388.35 Hz
Solving frequency = 402.253 Hz
Solving frequency = 453.926 Hz
Solving frequency = 459.348 Hz
Solving frequency = 730.994 Hz
Solving frequency = 405.351 Hz
Solving frequency = 454.545 Hz
Solving frequency = 1050.42 Hz
Solving frequency = 964.32 Hz
Solving frequency = 978.474 Hz
Solving frequency = 569.476 Hz
Solving frequency = 736.377 Hz
