Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 196.696 Hz
Solving frequency = 209.118 Hz
Solving frequency = 261.097 Hz
Solving frequency = 253.743 Hz
Solving frequency = 160.154 Hz
Solving frequency = 174.398 Hz
Solving frequency = 214.731 Hz
Solving frequency = 353.982 Hz
Solving frequency = 308.737 Hz
Solving frequency = 188.857 Hz
Solving frequency = 153.965 Hz
Solving frequency = 305.437 Hz
Solving frequency = 223.464 Hz
Solving frequency = 290.951 Hz
Solving frequency = 277.085 Hz
Solving frequency = 341.18 Hz
Solving frequency = 333 Hz
Solving frequency = 310.174 Hz
Solving frequency = 327.654 Hz
Solving frequency = 372.856 Hz
Solving frequency = 362.45 Hz
Solving frequency = 334.896 Hz
Solving frequency = 688.231 Hz
Solving frequency = 303.951 Hz
Solving frequency = 337.952 Hz
Solving frequency = 283.527 Hz
Solving frequency = 258.732 Hz
Solving frequency = 280.978 Hz
Solving frequency = 461.255 Hz
Solving frequency = 287.604 Hz
Solving frequency = 297.089 Hz
Solving frequency = 342.114 Hz
Solving frequency = 262.467 Hz
Solving frequency = 457.666 Hz
Solving frequency = 263.296 Hz
Solving frequency = 471.698 Hz
Solving frequency = 283.527 Hz
Solving frequency = 439.754 Hz
Solving frequency = 287.604 Hz
Solving frequency = 292.569 Hz
Solving frequency = 272.777 Hz
Solving frequency = 293.083 Hz
Solving frequency = 254.001 Hz
Solving frequency = 306.279 Hz
Solving frequency = 337.952 Hz
Solving frequency = 257.666 Hz
Solving frequency = 239.521 Hz
Solving frequency = 274.198 Hz
Solving frequency = 351.741 Hz
Solving frequency = 267.165 Hz
Solving frequency = 245.459 Hz
Solving frequency = 415.455 Hz
Solving frequency = 259.808 Hz
Solving frequency = 328.947 Hz
Solving frequency = 288.268 Hz
Solving frequency = 401.606 Hz
Solving frequency = 284.9 Hz
Solving frequency = 287.604 Hz
Solving frequency = 351.989 Hz
Solving frequency = 289.603 Hz
Solving frequency = 401.606 Hz
Solving frequency = 222.965 Hz
Solving frequency = 430.478 Hz
Solving frequency = 651.89 Hz
Solving frequency = 482.859 Hz
Solving frequency = 653.595 Hz
Solving frequency = 293.772 Hz
Solving frequency = 349.528 Hz
Solving frequency = 566.572 Hz
Solving frequency = 407.498 Hz
Solving frequency = 406.339 Hz
Solving frequency = 397.772 Hz
Solving frequency = 411.862 Hz
Solving frequency = 393.701 Hz
Solving frequency = 274.574 Hz
Solving frequency = 384.468 Hz
Solving frequency = 361.011 Hz
Solving frequency = 252.525 Hz
Solving frequency = 454.133 Hz
Solving frequency = 430.663 Hz
Solving frequency = 365.097 Hz
Solving frequency = 342.936 Hz
Solving frequency = 319.591 Hz
Solving frequency = 391.85 Hz
Solving frequency = 496.771 Hz
Solving frequency = 713.267 Hz
Solving frequency = 384.025 Hz
Solving frequency = 386.847 Hz
Solving frequency = 544.662 Hz
Solving frequency = 667.557 Hz
Solving frequency = 229.779 Hz
Solving frequency = 280.426 Hz
Solving frequency = 300.842 Hz
Solving frequency = 270.856 Hz
Solving frequency = 297 Hz
Solving frequency = 308.642 Hz
Solving frequency = 345.185 Hz
Solving frequency = 772.798 Hz
Solving frequency = 344.828 Hz
Solving frequency = 766.871 Hz
Solving frequency = 321.13 Hz
Solving frequency = 291.8 Hz
Solving frequency = 260.281 Hz
Solving frequency = 290.276 Hz
Solving frequency = 305.717 Hz
Solving frequency = 259.269 Hz
Solving frequency = 245.218 Hz
Solving frequency = 272.109 Hz
Solving frequency = 258.398 Hz
Solving frequency = 284.738 Hz
Solving frequency = 296.296 Hz
Solving frequency = 345.066 Hz
Solving frequency = 307.692 Hz
Solving frequency = 272.851 Hz
Solving frequency = 304.692 Hz
Solving frequency = 267.594 Hz
Solving frequency = 296.472 Hz
Solving frequency = 271.297 Hz
Solving frequency = 265.745 Hz
Solving frequency = 256.345 Hz
Solving frequency = 251.13 Hz
Solving frequency = 244.559 Hz
Solving frequency = 259.202 Hz
Solving frequency = 271.003 Hz
Solving frequency = 288.6 Hz
Solving frequency = 299.76 Hz
Solving frequency = 309.215 Hz
Solving frequency = 232.288 Hz
Solving frequency = 258.598 Hz
Solving frequency = 342.349 Hz
Solving frequency = 274.499 Hz
Solving frequency = 410.509 Hz
Solving frequency = 719.424 Hz
Solving frequency = 453.926 Hz
Solving frequency = 684.932 Hz
Solving frequency = 446.03 Hz
Solving frequency = 507.099 Hz
Solving frequency = 372.301 Hz
Solving frequency = 454.339 Hz
Solving frequency = 364.697 Hz
Solving frequency = 398.724 Hz
Solving frequency = 429.738 Hz
Solving frequency = 390.93 Hz
Solving frequency = 455.789 Hz
Solving frequency = 433.839 Hz
Solving frequency = 374.251 Hz
Solving frequency = 253.807 Hz
Solving frequency = 296.648 Hz
Solving frequency = 297.619 Hz
Solving frequency = 304.414 Hz
Solving frequency = 277.162 Hz
Solving frequency = 298.597 Hz
Solving frequency = 292.056 Hz
Solving frequency = 299.85 Hz
Solving frequency = 313.578 Hz
Solving frequency = 270.563 Hz
Solving frequency = 264.831 Hz
Solving frequency = 394.322 Hz
Solving frequency = 725.689 Hz
Solving frequency = 293.686 Hz
Solving frequency = 514.933 Hz
Solving frequency = 256.674 Hz
Solving frequency = 263.019 Hz
Solving frequency = 348.068 Hz
Solving frequency = 251.953 Hz
Solving frequency = 263.366 Hz
Solving frequency = 286.287 Hz
Solving frequency = 279.018 Hz
Solving frequency = 284.252 Hz
Solving frequency = 299.222 Hz
Solving frequency = 254.194 Hz
Solving frequency = 272.48 Hz
Solving frequency = 292.826 Hz
Solving frequency = 343.879 Hz
Solving frequency = 293.427 Hz
Solving frequency = 239.12 Hz
Solving frequency = 273.075 Hz
Solving frequency = 323.729 Hz
Solving frequency = 236.63 Hz
