Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 147.536 Hz
Solving frequency = 97.5515 Hz
Solving frequency = 66.8717 Hz
Solving frequency = 74.7328 Hz
Solving frequency = 113.623 Hz
Solving frequency = 114.012 Hz
Solving frequency = 103.402 Hz
Solving frequency = 78.4314 Hz
Solving frequency = 72.4795 Hz
Solving frequency = 89.6781 Hz
Solving frequency = 74.3605 Hz
Solving frequency = 95.6389 Hz
Solving frequency = 81.0307 Hz
Solving frequency = 110.914 Hz
Solving frequency = 73.9372 Hz
Solving frequency = 119.56 Hz
Solving frequency = 96.9838 Hz
Solving frequency = 121.966 Hz
Solving frequency = 97.3236 Hz
Solving frequency = 174.795 Hz
Solving frequency = 154.488 Hz
Solving frequency = 98.9022 Hz
Solving frequency = 111.334 Hz
Solving frequency = 197.902 Hz
Solving frequency = 99.5619 Hz
Solving frequency = 170.3 Hz
Solving frequency = 163.372 Hz
Solving frequency = 187.793 Hz
Solving frequency = 165.645 Hz
Solving frequency = 169.348 Hz
Solving frequency = 197.161 Hz
Solving frequency = 172.414 Hz
Solving frequency = 179.727 Hz
Solving frequency = 197.902 Hz
Solving frequency = 297.442 Hz
Solving frequency = 300.03 Hz
Solving frequency = 196.194 Hz
Solving frequency = 208.507 Hz
Solving frequency = 186.916 Hz
Solving frequency = 245.64 Hz
Solving frequency = 231.321 Hz
Solving frequency = 285.225 Hz
Solving frequency = 208.29 Hz
Solving frequency = 223.864 Hz
Solving frequency = 245.158 Hz
Solving frequency = 229.885 Hz
Solving frequency = 204.165 Hz
Solving frequency = 224.568 Hz
Solving frequency = 219.974 Hz
Solving frequency = 244.918 Hz
Solving frequency = 320.616 Hz
Solving frequency = 240.096 Hz
Solving frequency = 327.225 Hz
Solving frequency = 225.378 Hz
Solving frequency = 395.257 Hz
Solving frequency = 226.347 Hz
Solving frequency = 247.219 Hz
Solving frequency = 292.654 Hz
Solving frequency = 180.799 Hz
Solving frequency = 247.831 Hz
Solving frequency = 317.561 Hz
Solving frequency = 251.004 Hz
Solving frequency = 191.571 Hz
Solving frequency = 248.016 Hz
Solving frequency = 232.288 Hz
Solving frequency = 252.589 Hz
Solving frequency = 230.947 Hz
Solving frequency = 254.712 Hz
Solving frequency = 236.967 Hz
Solving frequency = 252.27 Hz
Solving frequency = 271.444 Hz
Solving frequency = 244.918 Hz
Solving frequency = 258.532 Hz
Solving frequency = 228.833 Hz
Solving frequency = 246.731 Hz
Solving frequency = 232.937 Hz
Solving frequency = 382.848 Hz
Solving frequency = 295.683 Hz
Solving frequency = 331.785 Hz
Solving frequency = 244.858 Hz
Solving frequency = 230.521 Hz
Solving frequency = 249.19 Hz
Solving frequency = 230.521 Hz
Solving frequency = 252.398 Hz
Solving frequency = 235.627 Hz
Solving frequency = 253.357 Hz
Solving frequency = 230.309 Hz
Solving frequency = 216.029 Hz
Solving frequency = 224.669 Hz
Solving frequency = 226.142 Hz
Solving frequency = 197.589 Hz
Solving frequency = 345.901 Hz
Solving frequency = 207.383 Hz
Solving frequency = 210.349 Hz
Solving frequency = 236.798 Hz
Solving frequency = 279.564 Hz
Solving frequency = 228.519 Hz
Solving frequency = 219.01 Hz
Solving frequency = 203.915 Hz
Solving frequency = 334.56 Hz
Solving frequency = 293.6 Hz
Solving frequency = 230.521 Hz
Solving frequency = 221.386 Hz
Solving frequency = 223.614 Hz
Solving frequency = 220.216 Hz
Solving frequency = 214.408 Hz
Solving frequency = 268.601 Hz
Solving frequency = 223.414 Hz
Solving frequency = 228.885 Hz
Solving frequency = 245.459 Hz
Solving frequency = 241.721 Hz
Solving frequency = 244.2 Hz
Solving frequency = 240.558 Hz
Solving frequency = 237.135 Hz
Solving frequency = 238.209 Hz
Solving frequency = 238.949 Hz
Solving frequency = 239.866 Hz
Solving frequency = 238.777 Hz
Solving frequency = 239.349 Hz
Solving frequency = 238.55 Hz
Solving frequency = 243.605 Hz
Solving frequency = 241.663 Hz
Solving frequency = 369.413 Hz
Solving frequency = 237.756 Hz
Solving frequency = 239.866 Hz
Solving frequency = 238.777 Hz
Solving frequency = 240.038 Hz
Solving frequency = 236.686 Hz
Solving frequency = 238.493 Hz
Solving frequency = 242.072 Hz
Solving frequency = 240.79 Hz
Solving frequency = 241.08 Hz
Solving frequency = 238.834 Hz
Solving frequency = 238.834 Hz
Solving frequency = 238.834 Hz
Solving frequency = 241.196 Hz
Solving frequency = 238.265 Hz
Solving frequency = 238.949 Hz
Solving frequency = 238.095 Hz
Solving frequency = 239.12 Hz
Solving frequency = 235.793 Hz
Solving frequency = 240.558 Hz
Solving frequency = 225.683 Hz
Solving frequency = 307.787 Hz
Solving frequency = 398.248 Hz
Solving frequency = 388.048 Hz
Solving frequency = 413.907 Hz
Solving frequency = 426.621 Hz
Solving frequency = 431.406 Hz
Solving frequency = 438.789 Hz
Solving frequency = 431.406 Hz
Solving frequency = 245.459 Hz
Solving frequency = 352.609 Hz
Solving frequency = 387.898 Hz
Solving frequency = 200.642 Hz
Solving frequency = 407.498 Hz
Solving frequency = 335.458 Hz
Solving frequency = 396.668 Hz
Solving frequency = 426.621 Hz
Solving frequency = 424.628 Hz
Solving frequency = 438.212 Hz
Solving frequency = 406.009 Hz
Solving frequency = 366.032 Hz
Solving frequency = 286.779 Hz
Solving frequency = 291.375 Hz
Solving frequency = 287.026 Hz
Solving frequency = 290.36 Hz
Solving frequency = 279.642 Hz
Solving frequency = 295.334 Hz
Solving frequency = 283.126 Hz
Solving frequency = 290.444 Hz
Solving frequency = 287.356 Hz
Solving frequency = 388.802 Hz
Solving frequency = 302.939 Hz
Solving frequency = 385.505 Hz
Solving frequency = 339.789 Hz
Solving frequency = 346.741 Hz
Solving frequency = 286.287 Hz
