Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 228.467 Hz
Solving frequency = 269.687 Hz
Solving frequency = 278.629 Hz
Solving frequency = 233.59 Hz
Solving frequency = 260.756 Hz
Solving frequency = 179.856 Hz
Solving frequency = 227.066 Hz
Solving frequency = 278.242 Hz
Solving frequency = 201.045 Hz
Solving frequency = 264.41 Hz
Solving frequency = 278.087 Hz
Solving frequency = 273.299 Hz
Solving frequency = 179.179 Hz
Solving frequency = 173.732 Hz
Solving frequency = 243.013 Hz
Solving frequency = 238.892 Hz
Solving frequency = 183.621 Hz
Solving frequency = 235.183 Hz
Solving frequency = 305.344 Hz
Solving frequency = 225.276 Hz
Solving frequency = 316.556 Hz
Solving frequency = 227.842 Hz
Solving frequency = 336.7 Hz
Solving frequency = 313.283 Hz
Solving frequency = 564.334 Hz
Solving frequency = 454.133 Hz
Solving frequency = 530.504 Hz
Solving frequency = 958.773 Hz
Solving frequency = 601.685 Hz
Solving frequency = 705.219 Hz
Solving frequency = 575.705 Hz
Solving frequency = 451.264 Hz
Solving frequency = 594.884 Hz
Solving frequency = 1035.2 Hz
Solving frequency = 471.921 Hz
Solving frequency = 607.903 Hz
Solving frequency = 1104.97 Hz
Solving frequency = 451.671 Hz
Solving frequency = 568.828 Hz
Solving frequency = 1142.86 Hz
Solving frequency = 515.198 Hz
Solving frequency = 576.369 Hz
Solving frequency = 1165.5 Hz
Solving frequency = 503.778 Hz
Solving frequency = 507.099 Hz
Solving frequency = 680.735 Hz
Solving frequency = 517.598 Hz
Solving frequency = 512.033 Hz
Solving frequency = 553.403 Hz
Solving frequency = 1122.33 Hz
Solving frequency = 507.614 Hz
Solving frequency = 479.157 Hz
Solving frequency = 276.091 Hz
Solving frequency = 643.087 Hz
Solving frequency = 498.504 Hz
Solving frequency = 666.667 Hz
Solving frequency = 729.927 Hz
Solving frequency = 505.561 Hz
Solving frequency = 1086.96 Hz
Solving frequency = 483.092 Hz
Solving frequency = 543.183 Hz
Solving frequency = 1086.96 Hz
Solving frequency = 445.236 Hz
Solving frequency = 494.071 Hz
Solving frequency = 500.751 Hz
Solving frequency = 465.983 Hz
Solving frequency = 500.751 Hz
Solving frequency = 491.159 Hz
Solving frequency = 772.201 Hz
Solving frequency = 485.909 Hz
Solving frequency = 702.247 Hz
Solving frequency = 520.021 Hz
Solving frequency = 643.501 Hz
Solving frequency = 533.618 Hz
Solving frequency = 600.962 Hz
Solving frequency = 1095.29 Hz
Solving frequency = 524.109 Hz
Solving frequency = 548.246 Hz
Solving frequency = 1148.11 Hz
Solving frequency = 513.875 Hz
Solving frequency = 503.778 Hz
Solving frequency = 550.964 Hz
Solving frequency = 564.334 Hz
Solving frequency = 532.765 Hz
Solving frequency = 504.796 Hz
Solving frequency = 531.915 Hz
Solving frequency = 624.22 Hz
Solving frequency = 542.888 Hz
Solving frequency = 525.486 Hz
Solving frequency = 518.941 Hz
Solving frequency = 511.247 Hz
Solving frequency = 514.403 Hz
Solving frequency = 750.751 Hz
Solving frequency = 521.105 Hz
Solving frequency = 515.198 Hz
Solving frequency = 515.996 Hz
Solving frequency = 514.933 Hz
Solving frequency = 514.933 Hz
Solving frequency = 801.925 Hz
Solving frequency = 502.765 Hz
Solving frequency = 528.541 Hz
Solving frequency = 591.366 Hz
Solving frequency = 1170.96 Hz
Solving frequency = 527.148 Hz
Solving frequency = 532.481 Hz
Solving frequency = 1158.75 Hz
Solving frequency = 509.944 Hz
Solving frequency = 536.193 Hz
Solving frequency = 1161.44 Hz
Solving frequency = 512.033 Hz
Solving frequency = 527.148 Hz
Solving frequency = 519.751 Hz
Solving frequency = 568.505 Hz
Solving frequency = 511.247 Hz
Solving frequency = 521.921 Hz
Solving frequency = 505.051 Hz
Solving frequency = 451.06 Hz
Solving frequency = 454.133 Hz
Solving frequency = 573.394 Hz
Solving frequency = 459.77 Hz
Solving frequency = 503.525 Hz
Solving frequency = 579.039 Hz
Solving frequency = 504.796 Hz
Solving frequency = 488.998 Hz
Solving frequency = 497.512 Hz
Solving frequency = 511.771 Hz
Solving frequency = 517.866 Hz
Solving frequency = 523.834 Hz
Solving frequency = 682.594 Hz
Solving frequency = 1132.5 Hz
Solving frequency = 524.934 Hz
Solving frequency = 564.653 Hz
Solving frequency = 521.105 Hz
Solving frequency = 528.821 Hz
Solving frequency = 522.193 Hz
Solving frequency = 516.529 Hz
Solving frequency = 523.286 Hz
Solving frequency = 528.541 Hz
Solving frequency = 495.05 Hz
Solving frequency = 265.041 Hz
Solving frequency = 476.417 Hz
Solving frequency = 429 Hz
Solving frequency = 504.796 Hz
Solving frequency = 505.051 Hz
Solving frequency = 498.256 Hz
Solving frequency = 495.54 Hz
Solving frequency = 525.21 Hz
Solving frequency = 532.481 Hz
Solving frequency = 528.262 Hz
Solving frequency = 524.934 Hz
Solving frequency = 518.403 Hz
Solving frequency = 507.099 Hz
Solving frequency = 412.882 Hz
Solving frequency = 378.931 Hz
Solving frequency = 410.509 Hz
Solving frequency = 415.973 Hz
Solving frequency = 520.562 Hz
Solving frequency = 470.146 Hz
Solving frequency = 448.43 Hz
Solving frequency = 435.161 Hz
Solving frequency = 431.779 Hz
Solving frequency = 426.621 Hz
Solving frequency = 421.23 Hz
Solving frequency = 425.532 Hz
Solving frequency = 432.526 Hz
Solving frequency = 515.996 Hz
Solving frequency = 351 Hz
Solving frequency = 423.729 Hz
Solving frequency = 459.348 Hz
Solving frequency = 459.348 Hz
Solving frequency = 370.645 Hz
Solving frequency = 480.769 Hz
Solving frequency = 379.651 Hz
Solving frequency = 389.864 Hz
Solving frequency = 481.696 Hz
Solving frequency = 451.671 Hz
Solving frequency = 451.671 Hz
Solving frequency = 365.764 Hz
