Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 211.685 Hz
Solving frequency = 256.739 Hz
Solving frequency = 267.023 Hz
Solving frequency = 124.162 Hz
Solving frequency = 118.821 Hz
Solving frequency = 174.886 Hz
Solving frequency = 190.985 Hz
Solving frequency = 320.205 Hz
Solving frequency = 183.117 Hz
Solving frequency = 228.154 Hz
Solving frequency = 121.153 Hz
Solving frequency = 119.246 Hz
Solving frequency = 108.143 Hz
Solving frequency = 166.889 Hz
Solving frequency = 232.883 Hz
Solving frequency = 228.258 Hz
Solving frequency = 179.083 Hz
Solving frequency = 97.9624 Hz
Solving frequency = 385.356 Hz
Solving frequency = 199.203 Hz
Solving frequency = 313.185 Hz
Solving frequency = 224.014 Hz
Solving frequency = 277.239 Hz
Solving frequency = 312.11 Hz
Solving frequency = 562.746 Hz
Solving frequency = 287.356 Hz
Solving frequency = 255.232 Hz
Solving frequency = 564.334 Hz
Solving frequency = 609.013 Hz
Solving frequency = 421.23 Hz
Solving frequency = 549.753 Hz
Solving frequency = 661.376 Hz
Solving frequency = 432.9 Hz
Solving frequency = 514.933 Hz
Solving frequency = 964.32 Hz
Solving frequency = 438.596 Hz
Solving frequency = 632.111 Hz
Solving frequency = 898.473 Hz
Solving frequency = 306.279 Hz
Solving frequency = 539.084 Hz
Solving frequency = 537.057 Hz
Solving frequency = 626.959 Hz
Solving frequency = 617.284 Hz
Solving frequency = 597.015 Hz
Solving frequency = 406.339 Hz
Solving frequency = 494.56 Hz
Solving frequency = 881.057 Hz
Solving frequency = 904.977 Hz
Solving frequency = 925.926 Hz
Solving frequency = 967.118 Hz
Solving frequency = 611.247 Hz
Solving frequency = 949.668 Hz
Solving frequency = 970.874 Hz
Solving frequency = 599.161 Hz
Solving frequency = 465.983 Hz
Solving frequency = 657.03 Hz
Solving frequency = 509.424 Hz
Solving frequency = 1029.87 Hz
Solving frequency = 1111.11 Hz
Solving frequency = 765.697 Hz
Solving frequency = 739.098 Hz
Solving frequency = 647.249 Hz
Solving frequency = 927.644 Hz
Solving frequency = 582.411 Hz
Solving frequency = 994.036 Hz
Solving frequency = 1024.59 Hz
Solving frequency = 1068.38 Hz
Solving frequency = 521.648 Hz
Solving frequency = 659.631 Hz
Solving frequency = 976.562 Hz
Solving frequency = 1007.05 Hz
Solving frequency = 1038.42 Hz
Solving frequency = 502.765 Hz
Solving frequency = 524.109 Hz
Solving frequency = 1010.1 Hz
Solving frequency = 584.454 Hz
Solving frequency = 690.608 Hz
Solving frequency = 513.611 Hz
Solving frequency = 686.813 Hz
Solving frequency = 748.503 Hz
Solving frequency = 778.816 Hz
Solving frequency = 510.465 Hz
Solving frequency = 640.205 Hz
Solving frequency = 1085.78 Hz
Solving frequency = 664.011 Hz
Solving frequency = 723.066 Hz
Solving frequency = 509.944 Hz
Solving frequency = 633.312 Hz
Solving frequency = 1153.4 Hz
Solving frequency = 527.983 Hz
Solving frequency = 495.786 Hz
Solving frequency = 525.486 Hz
Solving frequency = 501.505 Hz
Solving frequency = 489.956 Hz
Solving frequency = 506.842 Hz
Solving frequency = 497.018 Hz
Solving frequency = 508.906 Hz
Solving frequency = 483.325 Hz
Solving frequency = 475.511 Hz
Solving frequency = 499.002 Hz
Solving frequency = 517.866 Hz
Solving frequency = 508.647 Hz
Solving frequency = 511.509 Hz
Solving frequency = 514.933 Hz
Solving frequency = 528.262 Hz
Solving frequency = 520.021 Hz
Solving frequency = 492.368 Hz
Solving frequency = 521.376 Hz
Solving frequency = 507.099 Hz
Solving frequency = 513.875 Hz
Solving frequency = 477.783 Hz
Solving frequency = 491.884 Hz
Solving frequency = 506.329 Hz
Solving frequency = 517.598 Hz
Solving frequency = 500.501 Hz
Solving frequency = 494.071 Hz
Solving frequency = 452.284 Hz
Solving frequency = 446.03 Hz
Solving frequency = 450.045 Hz
Solving frequency = 450.653 Hz
Solving frequency = 1141.55 Hz
Solving frequency = 504.032 Hz
Solving frequency = 521.376 Hz
Solving frequency = 1148.11 Hz
Solving frequency = 502.26 Hz
Solving frequency = 495.54 Hz
Solving frequency = 745.156 Hz
Solving frequency = 515.996 Hz
Solving frequency = 520.021 Hz
Solving frequency = 506.073 Hz
Solving frequency = 517.598 Hz
Solving frequency = 521.376 Hz
Solving frequency = 488.998 Hz
Solving frequency = 512.558 Hz
Solving frequency = 513.611 Hz
Solving frequency = 771.01 Hz
Solving frequency = 479.846 Hz
Solving frequency = 712.251 Hz
Solving frequency = 1008.06 Hz
Solving frequency = 739.098 Hz
Solving frequency = 749.625 Hz
Solving frequency = 525.21 Hz
Solving frequency = 517.598 Hz
Solving frequency = 524.934 Hz
Solving frequency = 1219.51 Hz
Solving frequency = 645.995 Hz
Solving frequency = 1190.48 Hz
Solving frequency = 520.291 Hz
Solving frequency = 749.625 Hz
Solving frequency = 526.593 Hz
Solving frequency = 506.842 Hz
Solving frequency = 564.972 Hz
Solving frequency = 1187.65 Hz
Solving frequency = 524.934 Hz
Solving frequency = 769.231 Hz
Solving frequency = 1207.73 Hz
Solving frequency = 522.739 Hz
Solving frequency = 497.265 Hz
Solving frequency = 516.262 Hz
Solving frequency = 519.481 Hz
Solving frequency = 517.598 Hz
Solving frequency = 333 Hz
Solving frequency = 521.105 Hz
Solving frequency = 500.25 Hz
Solving frequency = 555.864 Hz
Solving frequency = 486.618 Hz
Solving frequency = 433.276 Hz
Solving frequency = 456.204 Hz
Solving frequency = 465.983 Hz
Solving frequency = 431.965 Hz
Solving frequency = 429.369 Hz
Solving frequency = 486.381 Hz
Solving frequency = 446.03 Hz
Solving frequency = 429.185 Hz
Solving frequency = 479.386 Hz
Solving frequency = 375.799 Hz
Solving frequency = 435.54 Hz
Solving frequency = 457.875 Hz
