Solving multi-robot motion planning problem...
Solving frequency = 366.435 Hz
Solving frequency = 395.257 Hz
Solving frequency = 512.033 Hz
Solving frequency = 409.165 Hz
Solving frequency = 395.883 Hz
Solving frequency = 468.384 Hz
Solving frequency = 390.778 Hz
Solving frequency = 395.101 Hz
Solving frequency = 445.038 Hz
Solving frequency = 279.955 Hz
Solving frequency = 308.642 Hz
Solving frequency = 314.169 Hz
Solving frequency = 288.018 Hz
Solving frequency = 287.274 Hz
Solving frequency = 361.533 Hz
Solving frequency = 342.466 Hz
Solving frequency = 733.676 Hz
Solving frequency = 412.712 Hz
Solving frequency = 252.334 Hz
Solving frequency = 328.407 Hz
Solving frequency = 300.03 Hz
Solving frequency = 302.939 Hz
Solving frequency = 290.36 Hz
Solving frequency = 311.915 Hz
Solving frequency = 297.619 Hz
Solving frequency = 238.095 Hz
Solving frequency = 316.556 Hz
Solving frequency = 322.165 Hz
Solving frequency = 327.869 Hz
Solving frequency = 284.657 Hz
Solving frequency = 283.527 Hz
Solving frequency = 719.942 Hz
Solving frequency = 314.861 Hz
Solving frequency = 471.921 Hz
Solving frequency = 411.862 Hz
Solving frequency = 428.266 Hz
Solving frequency = 401.606 Hz
Solving frequency = 437.828 Hz
Solving frequency = 410.004 Hz
Solving frequency = 434.972 Hz
Solving frequency = 295.159 Hz
Solving frequency = 396.04 Hz
Solving frequency = 322.789 Hz
Solving frequency = 342.7 Hz
Solving frequency = 299.76 Hz
Solving frequency = 264.971 Hz
Solving frequency = 293.6 Hz
Solving frequency = 286.697 Hz
Solving frequency = 245.821 Hz
Solving frequency = 242.483 Hz
Solving frequency = 248.139 Hz
Solving frequency = 305.344 Hz
Solving frequency = 212.811 Hz
Solving frequency = 399.84 Hz
Solving frequency = 294.811 Hz
Solving frequency = 431.593 Hz
Solving frequency = 268.601 Hz
Solving frequency = 308.356 Hz
Solving frequency = 276.932 Hz
Solving frequency = 293.341 Hz
Solving frequency = 478.927 Hz
Solving frequency = 390.93 Hz
Solving frequency = 412.882 Hz
Solving frequency = 283.046 Hz
Solving frequency = 296.912 Hz
Solving frequency = 258.532 Hz
Solving frequency = 258.465 Hz
Solving frequency = 353.482 Hz
Solving frequency = 264.131 Hz
Solving frequency = 328.623 Hz
Solving frequency = 340.948 Hz
Solving frequency = 287.604 Hz
Solving frequency = 287.853 Hz
Solving frequency = 240.732 Hz
Solving frequency = 284.172 Hz
Solving frequency = 301.932 Hz
Solving frequency = 289.855 Hz
Solving frequency = 295.596 Hz
Solving frequency = 242.601 Hz
Solving frequency = 305.623 Hz
Solving frequency = 292.312 Hz
Solving frequency = 269.107 Hz
Solving frequency = 283.607 Hz
Solving frequency = 271.223 Hz
Solving frequency = 262.743 Hz
Solving frequency = 243.843 Hz
Solving frequency = 260.756 Hz
Solving frequency = 269.397 Hz
Solving frequency = 246.792 Hz
Solving frequency = 221.484 Hz
Solving frequency = 271.665 Hz
Solving frequency = 283.688 Hz
Solving frequency = 302.115 Hz
Solving frequency = 273.598 Hz
Solving frequency = 296.121 Hz
Solving frequency = 259.202 Hz
Solving frequency = 269.833 Hz
Solving frequency = 351 Hz
Solving frequency = 259.673 Hz
Solving frequency = 319.693 Hz
Solving frequency = 255.951 Hz
Solving frequency = 330.36 Hz
Solving frequency = 258.732 Hz
Solving frequency = 221.976 Hz
No collisions found!
All the vehicles reached their goals!
Writing solution to text file...
Writing goals to text file...
