Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 76.5404 Hz
Solving frequency = 65.6082 Hz
Solving frequency = 71.3521 Hz
Solving frequency = 99.1277 Hz
Solving frequency = 81.6793 Hz
Solving frequency = 83.0013 Hz
Solving frequency = 101.451 Hz
Solving frequency = 113.908 Hz
Solving frequency = 59.2557 Hz
Solving frequency = 57.3427 Hz
Solving frequency = 82.352 Hz
Solving frequency = 69.7545 Hz
Solving frequency = 79.7194 Hz
Solving frequency = 106.225 Hz
Solving frequency = 114.639 Hz
Solving frequency = 119.246 Hz
Solving frequency = 154.178 Hz
Solving frequency = 165.098 Hz
Solving frequency = 173.611 Hz
Solving frequency = 179.63 Hz
Solving frequency = 97.4184 Hz
Solving frequency = 142.47 Hz
Solving frequency = 156.912 Hz
Solving frequency = 181.62 Hz
Solving frequency = 179.986 Hz
Solving frequency = 267.023 Hz
Solving frequency = 247.463 Hz
Solving frequency = 286.697 Hz
Solving frequency = 279.096 Hz
Solving frequency = 184.23 Hz
Solving frequency = 318.471 Hz
Solving frequency = 410.172 Hz
Solving frequency = 351 Hz
Solving frequency = 295.421 Hz
Solving frequency = 299.222 Hz
Solving frequency = 336.361 Hz
Solving frequency = 297.442 Hz
Solving frequency = 300.842 Hz
Solving frequency = 294.031 Hz
Solving frequency = 290.951 Hz
Solving frequency = 384.32 Hz
Solving frequency = 210.526 Hz
Solving frequency = 225.378 Hz
Solving frequency = 385.654 Hz
Solving frequency = 224.618 Hz
Solving frequency = 218.103 Hz
Solving frequency = 244.858 Hz
Solving frequency = 323.415 Hz
Solving frequency = 380.807 Hz
Solving frequency = 220.313 Hz
Solving frequency = 398.565 Hz
Solving frequency = 298.686 Hz
Solving frequency = 201.45 Hz
Solving frequency = 225.327 Hz
Solving frequency = 247.158 Hz
Solving frequency = 229.253 Hz
Solving frequency = 249.938 Hz
Solving frequency = 234.522 Hz
Solving frequency = 222.124 Hz
Solving frequency = 247.586 Hz
Solving frequency = 230.84 Hz
Solving frequency = 252.525 Hz
Solving frequency = 231.965 Hz
Solving frequency = 254.259 Hz
Solving frequency = 237.699 Hz
Solving frequency = 251.953 Hz
Solving frequency = 234.522 Hz
Solving frequency = 256.476 Hz
Solving frequency = 233.863 Hz
Solving frequency = 253.807 Hz
Solving frequency = 237.699 Hz
Solving frequency = 248.694 Hz
Solving frequency = 233.863 Hz
Solving frequency = 253.743 Hz
Solving frequency = 232.775 Hz
Solving frequency = 232.126 Hz
Solving frequency = 227.531 Hz
Solving frequency = 228.467 Hz
Solving frequency = 253.421 Hz
Solving frequency = 230.787 Hz
Solving frequency = 246.853 Hz
Solving frequency = 235.96 Hz
Solving frequency = 250.376 Hz
Solving frequency = 236.742 Hz
Solving frequency = 388.048 Hz
Solving frequency = 227.324 Hz
Solving frequency = 249.875 Hz
Solving frequency = 227.273 Hz
Solving frequency = 206.058 Hz
Solving frequency = 463.822 Hz
Solving frequency = 223.214 Hz
Solving frequency = 326.904 Hz
Solving frequency = 207.426 Hz
Solving frequency = 303.859 Hz
Solving frequency = 290.867 Hz
Solving frequency = 159.134 Hz
Solving frequency = 212.54 Hz
Solving frequency = 209.293 Hz
Solving frequency = 188.005 Hz
Solving frequency = 227.273 Hz
Solving frequency = 322.893 Hz
Solving frequency = 207.039 Hz
Solving frequency = 212.675 Hz
Solving frequency = 303.03 Hz
Solving frequency = 206.612 Hz
Solving frequency = 289.855 Hz
Solving frequency = 206.654 Hz
Solving frequency = 299.85 Hz
Solving frequency = 215.054 Hz
Solving frequency = 380.662 Hz
Solving frequency = 294.464 Hz
Solving frequency = 199.124 Hz
Solving frequency = 311.915 Hz
Solving frequency = 206.101 Hz
Solving frequency = 293.169 Hz
Solving frequency = 208.073 Hz
Solving frequency = 293.772 Hz
Solving frequency = 284.172 Hz
Solving frequency = 199.243 Hz
Solving frequency = 305.53 Hz
Solving frequency = 195.122 Hz
Solving frequency = 310.849 Hz
Solving frequency = 210.482 Hz
Solving frequency = 295.334 Hz
Solving frequency = 223.065 Hz
Solving frequency = 220.459 Hz
Solving frequency = 222.37 Hz
Solving frequency = 216.544 Hz
Solving frequency = 264.62 Hz
Solving frequency = 221.976 Hz
Solving frequency = 177.62 Hz
Solving frequency = 212.721 Hz
Solving frequency = 207.039 Hz
Solving frequency = 213.95 Hz
Solving frequency = 209.118 Hz
Solving frequency = 211.954 Hz
Solving frequency = 212.224 Hz
Solving frequency = 212.857 Hz
Solving frequency = 212.269 Hz
Solving frequency = 212.404 Hz
Solving frequency = 258.732 Hz
Solving frequency = 221.976 Hz
Solving frequency = 309.885 Hz
Solving frequency = 201.369 Hz
Solving frequency = 302.024 Hz
Solving frequency = 244.918 Hz
Solving frequency = 330.36 Hz
Solving frequency = 296.209 Hz
Solving frequency = 278.087 Hz
Solving frequency = 195.198 Hz
Solving frequency = 308.547 Hz
Solving frequency = 210.881 Hz
Solving frequency = 210.04 Hz
Solving frequency = 204.457 Hz
Solving frequency = 212.993 Hz
Solving frequency = 186.881 Hz
Solving frequency = 218.436 Hz
Solving frequency = 272.926 Hz
Solving frequency = 230.947 Hz
Solving frequency = 300.842 Hz
Solving frequency = 233.318 Hz
Solving frequency = 233.1 Hz
Solving frequency = 319.795 Hz
Solving frequency = 206.996 Hz
Solving frequency = 209.468 Hz
Solving frequency = 207.814 Hz
Solving frequency = 216.92 Hz
Solving frequency = 207.512 Hz
Solving frequency = 209.952 Hz
Solving frequency = 209.468 Hz
Solving frequency = 211.685 Hz
Solving frequency = 202.963 Hz
Solving frequency = 255.428 Hz
Solving frequency = 212.857 Hz
Solving frequency = 206.868 Hz
Solving frequency = 226.296 Hz
Solving frequency = 219.635 Hz
Solving frequency = 215.424 Hz
