Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 85.2733 Hz
Solving frequency = 99.3838 Hz
Solving frequency = 92.9887 Hz
Solving frequency = 119.275 Hz
Solving frequency = 102.68 Hz
Solving frequency = 111.869 Hz
Solving frequency = 92.5497 Hz
Solving frequency = 111.099 Hz
Solving frequency = 69.6621 Hz
Solving frequency = 81.0898 Hz
Solving frequency = 121.036 Hz
Solving frequency = 61.9963 Hz
Solving frequency = 102.733 Hz
Solving frequency = 104.123 Hz
Solving frequency = 117.966 Hz
Solving frequency = 116.32 Hz
Solving frequency = 138.026 Hz
Solving frequency = 168.464 Hz
Solving frequency = 87.2829 Hz
Solving frequency = 91.2992 Hz
Solving frequency = 93.9055 Hz
Solving frequency = 147.536 Hz
Solving frequency = 162.734 Hz
Solving frequency = 191.644 Hz
Solving frequency = 176.367 Hz
Solving frequency = 253.807 Hz
Solving frequency = 248.633 Hz
Solving frequency = 278.009 Hz
Solving frequency = 289.939 Hz
Solving frequency = 176.96 Hz
Solving frequency = 205.212 Hz
Solving frequency = 170.853 Hz
Solving frequency = 192.049 Hz
Solving frequency = 176.056 Hz
Solving frequency = 199.561 Hz
Solving frequency = 202.881 Hz
Solving frequency = 207.857 Hz
Solving frequency = 210.261 Hz
Solving frequency = 228.154 Hz
Solving frequency = 228.05 Hz
Solving frequency = 253.807 Hz
Solving frequency = 233.372 Hz
Solving frequency = 398.724 Hz
Solving frequency = 228.833 Hz
Solving frequency = 384.32 Hz
Solving frequency = 307.125 Hz
Solving frequency = 374.251 Hz
Solving frequency = 412.371 Hz
Solving frequency = 296.121 Hz
Solving frequency = 214.316 Hz
Solving frequency = 386.25 Hz
Solving frequency = 255.558 Hz
Solving frequency = 196.889 Hz
Solving frequency = 359.842 Hz
Solving frequency = 257.666 Hz
Solving frequency = 234.742 Hz
Solving frequency = 253.743 Hz
Solving frequency = 226.091 Hz
Solving frequency = 241.488 Hz
Solving frequency = 354.862 Hz
Solving frequency = 438.596 Hz
Solving frequency = 418.235 Hz
Solving frequency = 390.168 Hz
Solving frequency = 408.664 Hz
Solving frequency = 311.721 Hz
Solving frequency = 410.678 Hz
Solving frequency = 308.071 Hz
Solving frequency = 386.25 Hz
Solving frequency = 302.755 Hz
Solving frequency = 370.92 Hz
Solving frequency = 304.971 Hz
Solving frequency = 405.515 Hz
Solving frequency = 212.857 Hz
Solving frequency = 305.53 Hz
Solving frequency = 387.597 Hz
Solving frequency = 407.997 Hz
Solving frequency = 305.904 Hz
Solving frequency = 386.997 Hz
Solving frequency = 304.321 Hz
Solving frequency = 384.32 Hz
Solving frequency = 306.185 Hz
Solving frequency = 372.717 Hz
Solving frequency = 316.056 Hz
Solving frequency = 400.641 Hz
Solving frequency = 417.188 Hz
Solving frequency = 310.559 Hz
Solving frequency = 200.321 Hz
Solving frequency = 237.869 Hz
Solving frequency = 216.967 Hz
Solving frequency = 237.869 Hz
Solving frequency = 283.206 Hz
Solving frequency = 283.93 Hz
Solving frequency = 284.091 Hz
Solving frequency = 286.287 Hz
Solving frequency = 269.034 Hz
Solving frequency = 242.895 Hz
Solving frequency = 231.267 Hz
Solving frequency = 232.126 Hz
Solving frequency = 228.102 Hz
Solving frequency = 247.893 Hz
Solving frequency = 173.521 Hz
Solving frequency = 236.295 Hz
Solving frequency = 233.263 Hz
Solving frequency = 233.809 Hz
Solving frequency = 301.023 Hz
Solving frequency = 360.881 Hz
Solving frequency = 399.68 Hz
Solving frequency = 369.004 Hz
Solving frequency = 305.904 Hz
Solving frequency = 282.167 Hz
Solving frequency = 289.101 Hz
Solving frequency = 372.717 Hz
Solving frequency = 297.089 Hz
Solving frequency = 281.057 Hz
Solving frequency = 290.529 Hz
Solving frequency = 285.144 Hz
Solving frequency = 290.107 Hz
Solving frequency = 279.486 Hz
Solving frequency = 288.6 Hz
Solving frequency = 290.192 Hz
Solving frequency = 290.529 Hz
Solving frequency = 342.818 Hz
Solving frequency = 341.18 Hz
Solving frequency = 327.118 Hz
Solving frequency = 428.449 Hz
Solving frequency = 232.234 Hz
Solving frequency = 382.555 Hz
Solving frequency = 402.901 Hz
Solving frequency = 342.7 Hz
Solving frequency = 295.683 Hz
Solving frequency = 291.971 Hz
Solving frequency = 230.15 Hz
Solving frequency = 294.551 Hz
Solving frequency = 220.41 Hz
Solving frequency = 321.543 Hz
Solving frequency = 215.703 Hz
Solving frequency = 331.236 Hz
Solving frequency = 218.341 Hz
Solving frequency = 319.898 Hz
Solving frequency = 208.377 Hz
Solving frequency = 299.76 Hz
Solving frequency = 206.868 Hz
Solving frequency = 292.056 Hz
Solving frequency = 206.697 Hz
Solving frequency = 299.043 Hz
Solving frequency = 220.799 Hz
Solving frequency = 279.486 Hz
Solving frequency = 240.096 Hz
Solving frequency = 215.657 Hz
Solving frequency = 201.207 Hz
Solving frequency = 222.469 Hz
Solving frequency = 218.962 Hz
Solving frequency = 307.503 Hz
Solving frequency = 205.888 Hz
Solving frequency = 209.074 Hz
Solving frequency = 305.344 Hz
Solving frequency = 219.925 Hz
Solving frequency = 215.471 Hz
Solving frequency = 240.442 Hz
Solving frequency = 221.533 Hz
Solving frequency = 223.964 Hz
Solving frequency = 212.675 Hz
Solving frequency = 214.454 Hz
Solving frequency = 210.128 Hz
Solving frequency = 211.015 Hz
Solving frequency = 217.865 Hz
Solving frequency = 205.761 Hz
Solving frequency = 209.468 Hz
Solving frequency = 203.293 Hz
Solving frequency = 259.808 Hz
Solving frequency = 222.767 Hz
Solving frequency = 205.128 Hz
Solving frequency = 233.481 Hz
Solving frequency = 207.727 Hz
Solving frequency = 205.55 Hz
Solving frequency = 206.398 Hz
Solving frequency = 213.038 Hz
Solving frequency = 202.881 Hz
