Solving multi-robot motion planning problem...
Config: reallocation_enabled = 0
Config: reallocation_period = 2
Task reallocation DISABLED
Solving frequency = 137.005 Hz
Solving frequency = 211.149 Hz
Solving frequency = 134.174 Hz
Solving frequency = 154.059 Hz
Solving frequency = 155.812 Hz
Solving frequency = 163.934 Hz
Solving frequency = 194.818 Hz
Solving frequency = 194.742 Hz
Solving frequency = 165.18 Hz
Solving frequency = 173.521 Hz
Solving frequency = 187.336 Hz
Solving frequency = 188.324 Hz
Solving frequency = 164.989 Hz
Solving frequency = 196.618 Hz
Solving frequency = 170.126 Hz
Solving frequency = 250.941 Hz
Solving frequency = 226.809 Hz
Solving frequency = 234.907 Hz
Solving frequency = 321.647 Hz
Solving frequency = 272.183 Hz
Solving frequency = 281.532 Hz
Solving frequency = 285.714 Hz
Solving frequency = 287.853 Hz
Solving frequency = 396.197 Hz
Solving frequency = 275.482 Hz
Solving frequency = 297.974 Hz
Solving frequency = 389.712 Hz
Solving frequency = 529.942 Hz
Solving frequency = 276.702 Hz
Solving frequency = 281.452 Hz
Solving frequency = 307.125 Hz
Solving frequency = 274.574 Hz
Solving frequency = 302.663 Hz
Solving frequency = 290.192 Hz
Solving frequency = 261.165 Hz
Solving frequency = 289.603 Hz
Solving frequency = 295.421 Hz
Solving frequency = 278.552 Hz
Solving frequency = 268.168 Hz
Solving frequency = 280.662 Hz
Solving frequency = 294.291 Hz
Solving frequency = 277.546 Hz
Solving frequency = 263.574 Hz
Solving frequency = 288.85 Hz
Solving frequency = 328.839 Hz
Solving frequency = 210.438 Hz
Solving frequency = 244.2 Hz
Solving frequency = 264.131 Hz
Solving frequency = 255.885 Hz
Solving frequency = 265.041 Hz
Solving frequency = 296.912 Hz
Solving frequency = 370.508 Hz
Solving frequency = 365.364 Hz
Solving frequency = 396.04 Hz
Solving frequency = 393.082 Hz
Solving frequency = 393.082 Hz
Solving frequency = 415.973 Hz
Solving frequency = 389.105 Hz
Solving frequency = 260.96 Hz
Solving frequency = 413.565 Hz
Solving frequency = 280.899 Hz
Solving frequency = 417.014 Hz
Solving frequency = 265.393 Hz
Solving frequency = 327.439 Hz
Solving frequency = 237.304 Hz
Solving frequency = 260.078 Hz
Solving frequency = 249.938 Hz
Solving frequency = 293.169 Hz
Solving frequency = 272.777 Hz
Solving frequency = 296.384 Hz
Solving frequency = 277.393 Hz
Solving frequency = 293.169 Hz
Solving frequency = 275.028 Hz
Solving frequency = 300.21 Hz
Solving frequency = 340.599 Hz
Solving frequency = 403.877 Hz
Solving frequency = 286.287 Hz
Solving frequency = 345.543 Hz
Solving frequency = 596.303 Hz
Solving frequency = 559.91 Hz
Solving frequency = 722.543 Hz
Solving frequency = 494.56 Hz
Solving frequency = 548.546 Hz
Solving frequency = 503.778 Hz
Solving frequency = 521.105 Hz
Solving frequency = 327.869 Hz
Solving frequency = 341.88 Hz
Solving frequency = 368.324 Hz
Solving frequency = 372.301 Hz
Solving frequency = 420.521 Hz
Solving frequency = 362.582 Hz
Solving frequency = 252.143 Hz
Solving frequency = 317.864 Hz
Solving frequency = 372.578 Hz
Solving frequency = 375.094 Hz
Solving frequency = 426.621 Hz
Solving frequency = 280.899 Hz
Solving frequency = 299.76 Hz
Solving frequency = 343.643 Hz
Solving frequency = 279.564 Hz
Solving frequency = 235.682 Hz
Solving frequency = 252.016 Hz
Solving frequency = 293.341 Hz
Solving frequency = 301.568 Hz
Solving frequency = 296.912 Hz
Solving frequency = 294.204 Hz
Solving frequency = 292.997 Hz
Solving frequency = 442.87 Hz
Solving frequency = 267.953 Hz
Solving frequency = 314.861 Hz
Solving frequency = 341.88 Hz
Solving frequency = 288.184 Hz
Solving frequency = 282.725 Hz
Solving frequency = 289.855 Hz
Solving frequency = 342.349 Hz
Solving frequency = 318.878 Hz
Solving frequency = 290.698 Hz
Solving frequency = 361.011 Hz
Solving frequency = 296.736 Hz
Solving frequency = 284.981 Hz
Solving frequency = 249.813 Hz
Solving frequency = 303.398 Hz
Solving frequency = 344.947 Hz
Solving frequency = 267.523 Hz
Solving frequency = 304.971 Hz
Solving frequency = 281.928 Hz
Solving frequency = 271.813 Hz
Solving frequency = 264.41 Hz
Solving frequency = 428.633 Hz
Solving frequency = 370.782 Hz
Solving frequency = 280.034 Hz
Solving frequency = 280.978 Hz
Solving frequency = 330.033 Hz
Solving frequency = 349.406 Hz
Solving frequency = 454.339 Hz
Solving frequency = 334.113 Hz
Solving frequency = 332.557 Hz
Solving frequency = 292.056 Hz
Solving frequency = 327.011 Hz
Solving frequency = 285.959 Hz
Solving frequency = 337.041 Hz
Solving frequency = 296.209 Hz
Solving frequency = 274.499 Hz
Solving frequency = 289.855 Hz
Solving frequency = 254.712 Hz
Solving frequency = 265.463 Hz
Solving frequency = 298.063 Hz
Solving frequency = 343.643 Hz
Solving frequency = 313.381 Hz
Solving frequency = 337.041 Hz
Solving frequency = 276.091 Hz
Solving frequency = 295.072 Hz
Solving frequency = 336.7 Hz
Solving frequency = 282.326 Hz
Solving frequency = 271.813 Hz
Solving frequency = 269.614 Hz
Solving frequency = 277.008 Hz
Solving frequency = 351.247 Hz
Solving frequency = 405.844 Hz
Solving frequency = 435.73 Hz
Solving frequency = 381.388 Hz
Solving frequency = 280.426 Hz
Solving frequency = 369.959 Hz
Solving frequency = 371.747 Hz
Solving frequency = 287.522 Hz
Solving frequency = 289.352 Hz
Solving frequency = 472.144 Hz
Solving frequency = 208.507 Hz
Solving frequency = 398.565 Hz
Solving frequency = 289.603 Hz
Solving frequency = 340.483 Hz
Solving frequency = 243.546 Hz
Solving frequency = 287.026 Hz
Solving frequency = 267.953 Hz
Solving frequency = 290.36 Hz
Solving frequency = 288.6 Hz
Solving frequency = 276.243 Hz
Solving frequency = 270.27 Hz
Solving frequency = 396.04 Hz
